Feature Set,Oversampling Method,Classifier,Best Params,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,Test Balanced Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC
RF,SMOTETomek,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.7968695659070585,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556,0.5555555555555556,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556
ANOVA,SMOTE,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8404268012190214,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556,0.5555555555555556,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556
LASSO,SMOTE,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8368396009430166,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556,0.5555555555555556,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556
ANOVA,SMOTETomek,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8404268012190214,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556,0.5555555555555556,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556
LASSO,SMOTETomek,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8368396009430166,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556,0.5555555555555556,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556
mRMR_RF,SMOTETomek,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8150490196078432,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556,0.5555555555555556,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556
mRMR_RF,SMOTE,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8079188948306595,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556,0.5555555555555556,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.5555555555555556
LASSO,SMOTETomek,LogisticRegression,"{'classifier__C': 1.6022478762464465, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8028786342123055,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5833333333333335,0.5833333333333334,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5833333333333335
LASSO,RandomOversampling,SVM,"{'classifier__C': 5.0339523436528975, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.8491978609625669,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5,0.5,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5
LASSO,RandomOversampling,LogisticRegression,"{'classifier__C': 0.6291018519581948, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7877487732882618,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.6111111111111112,0.6111111111111112,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.6111111111111112
LASSO,ADASYN,LogisticRegression,"{'classifier__C': 8.498467194750853, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7730498830356515,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.6111111111111112,0.6111111111111112,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.6111111111111112
LASSO,ADASYN,SVM,"{'classifier__C': 7.282401436844547, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.8369588744588745,0.6818181818181818,0.8333333333333334,0.75,0.5277777777777778,0.5277777777777778,0.6818181818181818,0.8333333333333334,0.75,0.5277777777777778
ANOVA,ADASYN,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8453510436432637,0.6818181818181818,0.8333333333333334,0.75,0.5277777777777778,0.5277777777777778,0.6818181818181818,0.8333333333333334,0.75,0.5277777777777778
mRMR_RF,ADASYN,SVM,"{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8107227682227682,0.6818181818181818,0.8333333333333334,0.75,0.5277777777777778,0.5277777777777778,0.6818181818181818,0.8333333333333334,0.75,0.5277777777777778
ANOVA,RandomOversampling,SVM,"{'classifier__C': 5.0339523436528975, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.8572963026852971,0.6818181818181818,0.8333333333333334,0.75,0.5277777777777778,0.5277777777777778,0.6818181818181818,0.8333333333333334,0.75,0.5277777777777778
ANOVA,RandomOversampling,LogisticRegression,"{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.7935011966157685,0.7,0.7777777777777778,0.7368421052631579,0.5555555555555556,0.5555555555555556,0.7,0.7777777777777778,0.7368421052631579,0.5555555555555556
mRMR_MIQ,SMOTETomek,SVM,"{'classifier__C': 9.03104704586198, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.7966385931458234,0.6521739130434783,0.8333333333333334,0.7317073170731707,0.47222222222222227,0.4722222222222222,0.6521739130434783,0.8333333333333334,0.7317073170731707,0.47222222222222227
mRMR_MIQ,SMOTETomek,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 97}",0.8170629505720785,0.6521739130434783,0.8333333333333334,0.7317073170731707,0.47222222222222227,0.4722222222222222,0.6521739130434783,0.8333333333333334,0.7317073170731707,0.47222222222222227
AllFeatures,SMOTETomek,GXBoost,"{'classifier__colsample_bytree': 0.9964767468550163, 'classifier__learning_rate': 0.03528055248515828, 'classifier__max_depth': 8, 'classifier__n_estimators': 157, 'classifier__subsample': 0.7362109885023462}",0.7639888981876812,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5,0.5,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5
mRMR_MIQ,SMOTETomek,GXBoost,"{'classifier__colsample_bytree': 0.6559732973166619, 'classifier__learning_rate': 0.09224716324390393, 'classifier__max_depth': 3, 'classifier__n_estimators': 74, 'classifier__subsample': 0.6742132190006357}",0.8095865189577157,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5,0.5,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5
LASSO,ADASYN,GXBoost,"{'classifier__colsample_bytree': 0.9768347139286494, 'classifier__learning_rate': 0.1488394929008872, 'classifier__max_depth': 6, 'classifier__n_estimators': 166, 'classifier__subsample': 0.6398005899074617}",0.6826332288401253,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5,0.5,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5
ANOVA,SMOTETomek,GXBoost,"{'classifier__colsample_bytree': 0.8344811964306701, 'classifier__learning_rate': 0.03224407396351247, 'classifier__max_depth': 7, 'classifier__n_estimators': 133, 'classifier__subsample': 0.6894150195855671}",0.7192741935483872,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5,0.5,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5
