Feature Set;Oversampling Method;Classifier;Best Params;ROC-AUC;Test Balanced Accuracy;Test Precision;Test Recall;Test F1-Score;Test ROC-AUC
mRMR_RF;SMOTETomek;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.572;0.639;0.739;0.944;0.829;0.494
LASSO;ADASYN;SVM;{'classifier__C': 7.282401436844547, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'};0.67;0.778;0.875;0.778;0.824;0.685
mRMR_MIQ;SMOTETomek;XGBoost;{'classifier__colsample_bytree': 0.6559732973166619, 'classifier__learning_rate': 0.09224716324390393, 'classifier__max_depth': 3, 'classifier__n_estimators': 74, 'classifier__subsample': 0.6742132190006357};0.69;0.556;0.692;1;0.818;0.469
mRMR_RF;ADASYN;RandomForest;{'classifier__bootstrap': True, 'classifier__max_depth': 14, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 56};0.628;0.556;0.692;1;0.818;0.667
LASSO;ADASYN;RandomForest;{'classifier__bootstrap': True, 'classifier__max_depth': 9, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 141};0.605;0.556;0.692;1;0.818;0.475
AllFeatures;ADASYN;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 189};0.574;0.556;0.692;1;0.818;0.438
mRMR_MIQ;ADASYN;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 156};0.671;0.556;0.692;1;0.818;0.537
mRMR_MIQ;SMOTE;XGBoost;{'classifier__colsample_bytree': 0.8744144862584011, 'classifier__learning_rate': 0.07000707150067086, 'classifier__max_depth': 4, 'classifier__n_estimators': 187, 'classifier__subsample': 0.6880750682367803};0.699;0.583;0.708;0.944;0.81;0.444
mRMR_RF;SMOTE;SVM;{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.613;0.583;0.708;0.944;0.81;0.543
ANOVA;SMOTETomek;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.617;0.583;0.708;0.944;0.81;0.562
ANOVA;SMOTE;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.617;0.583;0.708;0.944;0.81;0.562
ANOVA;RandomOverSampler;MLPC;{'classifier__solver': 'adam', 'classifier__max_iter': 300, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'logistic'};0.648;0.583;0.708;0.944;0.81;0.568
mRMR_RF;SMOTETomek;SVM;{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.62;0.583;0.708;0.944;0.81;0.568
mRMR_MIQ;SMOTE;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 300, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.001, 'classifier__activation': 'relu'};0.644;0.5;0.667;1;0.8;0.423
RF;RandomOverSampler;XGBoost;{'classifier__colsample_bytree': 0.8743706391008104, 'classifier__learning_rate': 0.026199270576031455, 'classifier__max_depth': 5, 'classifier__n_estimators': 164, 'classifier__subsample': 0.9883673511683231};0.705;0.5;0.667;1;0.8;0.488
RF;RandomOverSampler;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 300, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.001, 'classifier__activation': 'logistic'};0.678;0.5;0.667;1;0.8;0.389
mRMR_MIQ;SMOTETomek;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 4, 'classifier__weights': 'distance'};0.628;0.5;0.667;1;0.8;0.414
mRMR_MIQ;SMOTE;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.526;0.5;0.667;1;0.8;0.438
mRMR_MIQ;SMOTE;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 73};0.699;0.5;0.667;1;0.8;0.506
mRMR_MIQ;SMOTETomek;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.526;0.5;0.667;1;0.8;0.426
mRMR_MIQ;SMOTETomek;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 14, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 53};0.684;0.5;0.667;1;0.8;0.562
mRMR_MIQ;SMOTE;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__weights': 'distance'};0.641;0.5;0.667;1;0.8;0.426
mRMR_MIQ;SMOTE;SVM;{'classifier__C': 9.619097422366776, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'};0.692;0.5;0.667;1;0.8;0.426
RF;RandomOverSampler;SVM;{'classifier__C': 4.748457034082185, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'};0.722;0.5;0.667;1;0.8;0.364
AllFeatures;SMOTE;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 133};0.586;0.5;0.667;1;0.8;0.407
RF;RandomOverSampler;KNN;{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__weights': 'distance'};0.674;0.5;0.667;1;0.8;0.423
